SSC_CODE_2016,SSC_NAME_2016,SA4_CODE_2016,SA4_NAME_2016,RATIO,PERCENTAGE
30691,Coolum Beach,316,Sunshine Coast,1,100
30692,Coombabah,309,Gold Coast,1,100
30693,Coomera,309,Gold Coast,1,100
30694,Coominglah,319,Wide Bay,1,100
30695,Coominglah Forest,319,Wide Bay,1,100
30696,Coominya,310,Ipswich,1,100
30697,Coomoo,308,Central Queensland,1,100
30698,Coomrith,307,Darling Downs - Maranoa,1,100
30699,Coonambula,319,Wide Bay,1,100
30700,Coonarr,319,Wide Bay,1,100
30701,Coondoo,319,Wide Bay,1,100
30702,Coongoola,315,Queensland - Outback,1,100
30703,Coopers Plains,303,Brisbane - South,1,100
30704,Coorada,308,Central Queensland,1,100
30705,Cooran,316,Sunshine Coast,1,100
30706,Cooranga,307,Darling Downs - Maranoa,1,100
30707,Cooroibah,316,Sunshine Coast,1,100
30708,Cooroo Lands,306,Cairns,1,100
30709,Coorooman,308,Central Queensland,1,100
30710,Cooroy,316,Sunshine Coast,1,100
30711,Cooroy Mountain,316,Sunshine Coast,1,100
30712,Coorparoo,303,Brisbane - South,1,100
30713,Coorumba,306,Cairns,1,100
30714,Coorumbene,308,Central Queensland,1,100
30715,Cootharaba,316,Sunshine Coast,1,100
30716,Coowonga,308,Central Queensland,1,100
30717,Cooya Beach,306,Cairns,1,100
30718,Cooyar,307,Darling Downs - Maranoa,1,100
30719,Coppabella (Qld),312,Mackay - Isaac - Whitsunday,1,100
30720,Coquette Point,306,Cairns,1,100
30721,Coral Cove,319,Wide Bay,1,100
30722,Coral Sea,308,Central Queensland,0.7592478,75.9247785
30722,Coral Sea,312,Mackay - Isaac - Whitsunday,0.240745,24.0744993
30723,Coralie,315,Queensland - Outback,1,100
30724,Cordalba,319,Wide Bay,1,100
30725,Cordelia,318,Townsville,1,100
30726,Corella,319,Wide Bay,1,100
30727,Corfield,315,Queensland - Outback,1,100
